mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.02002557118733724,0.004273833904727574,0.002012332280476888,1.2101292445697666e-05,0.1,8,"{'learning_rate': 0.1, 'n_estimators': 8}",0.7639510451726984,0.7244684051846225,0.756242557336216,0.7482206692311789,0.017087670636735,23
0.030494530995686848,0.0020982811785297236,0.0,0.0,0.1,16,"{'learning_rate': 0.1, 'n_estimators': 16}",0.7811417933518756,0.7687716362708841,0.7477261051951138,0.7658798449392913,0.013794295839865453,12
0.047289371490478516,0.0001827015536133497,0.01282175381978353,0.009509084138726557,0.1,32,"{'learning_rate': 0.1, 'n_estimators': 32}",0.7840221274109703,0.7918338275131855,0.7634017930182979,0.7797525826474846,0.011993523411830133,9
0.16611576080322266,0.02842573794236669,0.02074154218037923,0.0076355949685593125,0.1,64,"{'learning_rate': 0.1, 'n_estimators': 64}",0.7824113709833687,0.7957123677001349,0.7847061207714322,0.7876099531516453,0.005805360183148943,7
0.2785933017730713,0.04851124918103358,0.032751003901163735,0.028411997526777047,0.1,128,"{'learning_rate': 0.1, 'n_estimators': 128}",0.7963673391999306,0.8018954754490936,0.8032611438010134,0.8005079861500125,0.002980489935762893,6
0.4151025613149007,0.00614472665151493,0.05448508262634277,0.006562787366542416,0.1,256,"{'learning_rate': 0.1, 'n_estimators': 256}",0.8098146027422082,0.8161823819240398,0.8095440980573405,0.8118470275745295,0.003067546924172177,4
0.01514593760172526,0.0024040769071512792,0.0019462903340657551,0.0015667979135884657,0.01,8,"{'learning_rate': 0.01, 'n_estimators': 8}",0.7535752394790358,0.7399747588477252,0.7218598343094306,0.7384699442120639,0.01299140950997572,24
0.023790756861368816,0.011329910676808901,0.005706389745076497,0.0048093896253301295,0.01,16,"{'learning_rate': 0.01, 'n_estimators': 16}",0.7442663893733646,0.7604573185311436,0.7537996051754622,0.7528411043599901,0.006644576214627977,20
0.05145390828450521,0.004343444353561876,0.006341139475504558,0.005319199925269693,0.01,32,"{'learning_rate': 0.01, 'n_estimators': 32}",0.7449348760041635,0.7738033213549873,0.759198167444786,0.7593121216013122,0.011785768915821514,17
0.10251379013061523,0.005024863912913442,0.01614522933959961,0.0023493610564411173,0.01,64,"{'learning_rate': 0.01, 'n_estimators': 64}",0.7515627049008546,0.7773993960067338,0.7543946570600497,0.7611189193225462,0.011569944657207832,15
0.19823646545410156,0.008737982183348321,0.03286139170328776,0.0010748444816715546,0.01,128,"{'learning_rate': 0.01, 'n_estimators': 128}",0.784412694619156,0.77144669811125,0.7634295089606342,0.7730963005636801,0.008645399982391241,11
0.4356974760691325,0.046115103012774564,0.06487329800923665,0.01304259775952895,0.01,256,"{'learning_rate': 0.01, 'n_estimators': 256}",0.7828345111609958,0.7813882778487073,0.7724057358315896,0.7788761749470976,0.004613229848960863,10
0.011504173278808594,0.0035220506321906563,0.0006687641143798828,0.0009457752805844621,0.5,8,"{'learning_rate': 0.5, 'n_estimators': 8}",0.7443786695606727,0.7755357861391337,0.7644940441094088,0.7614694999364051,0.01289838178382054,14
0.03230929374694824,0.00545632125794116,0.0037825902303059897,0.0003144719267004769,0.5,16,"{'learning_rate': 0.5, 'n_estimators': 16}",0.7950081447287668,0.7803269288111724,0.7860841390993862,0.7871397375464418,0.006039880863385,8
0.09553941090901692,0.0394439132348525,0.010251839955647787,0.0023608847709184985,0.5,32,"{'learning_rate': 0.5, 'n_estimators': 32}",0.8082927251943853,0.8062617352117418,0.8063959350844594,0.8069834651635288,0.000927406337681633,5
0.1092836062113444,0.012301999932939666,0.015284299850463867,0.011390773157877043,0.5,64,"{'learning_rate': 0.5, 'n_estimators': 64}",0.8198530421680232,0.8162444778604425,0.8076217520725144,0.8145730907003267,0.005131358860274281,3
0.2079626719156901,0.004409650385013174,0.021562496821085613,0.006604390050603739,0.5,128,"{'learning_rate': 0.5, 'n_estimators': 128}",0.8255704684675295,0.815370047750725,0.8196596127225428,0.8202000429802657,0.004181801393941006,2
0.381624698638916,0.02870781128034796,0.05030687650044759,0.016010899595677856,0.5,256,"{'learning_rate': 0.5, 'n_estimators': 256}",0.8343334453137619,0.8191187470714958,0.8184034874181885,0.8239518932678154,0.007346671185189206,1
0.004004955291748047,0.005663862090287983,0.012524843215942383,0.0072516543612924375,0.001,8,"{'learning_rate': 0.001, 'n_estimators': 8}",0.7672719498875874,0.7467120573707424,0.7315071784823506,0.74849706191356,0.01465536077869622,22
