mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.01591213544209798,0.004571091896955828,0.0,0.0,0.01,16,0.6,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.6}",0.19988183867201037,0.19209024109047523,0.19019241775404339,0.19405483250550967,0.004192527797753544,106
0.010603984196980795,0.007498150412572628,0.0,0.0,0.01,16,0.7,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.7}",0.20073302437656249,0.18908659616365964,0.19398641929175398,0.19460201327732538,0.004774518439652918,104
0.010644674301147461,0.009007179059755191,0.0,0.0,0.01,16,0.75,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.75}",0.1993281530215375,0.19034312529544184,0.19434968151551135,0.1946736532774969,0.003675268614818057,103
0.015832265218098957,0.0020149005282386174,0.0,0.0,0.01,16,0.8,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.8}",0.19840746183720415,0.18481944131733796,0.1923011613977368,0.19184268818409297,0.005556751069812754,107
0.016201893488566082,0.000430664137997896,0.0,0.0,0.01,16,0.85,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.85}",0.1980346464478494,0.1899120745221473,0.1946287250589429,0.19419181534297988,0.0033303864887805567,105
0.020698944727579754,0.006628935685825107,0.0,0.0,0.01,16,0.9,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.9}",0.19500981248843652,0.18561845374735952,0.1942076106798103,0.19161195897186878,0.004250683128832007,108
0.027001142501831055,0.004820767790492218,0.0003609657287597656,0.0005104826291639485,0.01,32,0.6,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.6}",0.35981886590745515,0.32895465166825977,0.3386749495869762,0.3424828223875637,0.012884741663425734,95
0.02798151969909668,0.010861399795339663,0.00036271413167317707,0.0005129552442765876,0.01,32,0.7,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.7}",0.3578814517139526,0.3357298154636559,0.34421405769435165,0.3459417749573201,0.00912551376989935,91
0.032866716384887695,0.013037179751810736,0.0,0.0,0.01,32,0.75,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.75}",0.35621619995768095,0.3331083270838576,0.33983349174063193,0.34305267292739017,0.009704493557903251,93
0.02435413996378581,0.008256418034012067,0.000667730967203776,0.0009443141898360845,0.01,32,0.8,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.8}",0.35731844234328713,0.336510656784902,0.3394372728556493,0.3444221239946128,0.009197011856001735,92
