mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.023085594177246094,0.00759792913178744,0.0013380050659179688,0.0009461182431615553,8,{'n_estimators': 8},0.8135256911812744,0.8000408326110505,0.8188384524092781,0.8108016587338677,0.007912138021233488,6
0.03334975242614746,0.0048550283159157735,0.001334826151529948,0.0018877292469039364,16,{'n_estimators': 16},0.8392133288876938,0.801109569569844,0.8304302903833478,0.8235843962802952,0.01629158920201493,5
0.06969292958577473,0.006639959355111854,0.004405816396077474,0.0062307653006585155,32,{'n_estimators': 32},0.8412681988954092,0.8097863641085299,0.8363847838717333,0.8291464489585575,0.01383405459060035,3
0.13904023170471191,0.012817652844418609,0.01035769780476888,0.007351846234312544,64,{'n_estimators': 64},0.8465775964656461,0.8045942793737922,0.83199497598067,0.8277222839400361,0.01740386262614058,4
0.25635139147440594,0.004891411614984128,0.012406428654988607,0.004506603725081021,128,{'n_estimators': 128},0.8513829269112415,0.811088972957714,0.8388090818618452,0.8337603272436002,0.01683286712949177,1
0.5248665809631348,0.01688303975041556,0.04980897903442383,0.009906967718056832,256,{'n_estimators': 256},0.8462426869507031,0.8086234025931439,0.8385447615475125,0.8311369503637865,0.016226714368473297,2
