mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.12785601615905762,0.13174649914228687,0.003180424372355143,0.0012456650817080004,6,30,0.01,"{'depth': 6, 'iterations': 30, 'learning_rate': 0.01}",0.292411704806424,0.2945743898594374,0.2963902227220222,0.29445877246262786,0.0016262793400925455,25
0.033666769663492836,0.00046537980716956765,0.0020122528076171875,1.5577085969798795e-05,6,30,0.05,"{'depth': 6, 'iterations': 30, 'learning_rate': 0.05}",0.7374629462857718,0.723865392017621,0.7340942296282971,0.7318075226438966,0.005781876404951698,16
0.04185954729715983,0.008387616215782684,0.0024341742197672525,0.0003459698857291798,6,30,0.1,"{'depth': 6, 'iterations': 30, 'learning_rate': 0.1}",0.845569057133898,0.8049370035974567,0.8263413784332683,0.8256158130548744,0.01659589863963987,7
0.05089974403381348,0.006140764948426465,0.001664559046427409,0.001243868432204349,6,50,0.01,"{'depth': 6, 'iterations': 50, 'learning_rate': 0.01}",0.4288062527357702,0.4293104857713309,0.43034548424873764,0.42948740758527953,0.000640720640537493,22
0.04925123850504557,0.0031872586171951653,0.0021886825561523438,0.0002771577441723485,6,50,0.05,"{'depth': 6, 'iterations': 50, 'learning_rate': 0.05}",0.8222522708073629,0.7957571501982533,0.813016951546248,0.8103421241839547,0.01098070671940471,12
0.049112796783447266,0.004154777853203861,0.002705256144205729,0.0004973473405763344,6,50,0.1,"{'depth': 6, 'iterations': 50, 'learning_rate': 0.1}",0.8679588845255636,0.8199377765113725,0.8494269036576368,0.8457745215648577,0.01977391589849944,3
0.09433094660441081,0.024307884225830738,0.0031518936157226562,0.0008438240149648233,6,100,0.01,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.01}",0.6313426327463612,0.6297188258178211,0.6367437157061164,0.6326017247567662,0.0030029156946394437,19
0.11685927708943684,0.015445559328428407,0.002384026845296224,0.0017524082515442357,6,100,0.05,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.05}",0.8651975251082124,0.8238413183264786,0.8501611275711344,0.8463999903352751,0.017091783110091362,2
0.0810546875,0.007497375106546479,0.0023892720540364585,0.0017330109562758965,6,100,0.1,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.1}",0.8721137750896951,0.8193594289383233,0.8554470601038142,0.8489734213772775,0.02201796627356816,1
0.04922914505004883,0.005852892885652055,0.002274751663208008,0.0032169846531395195,8,30,0.01,"{'depth': 8, 'iterations': 30, 'learning_rate': 0.01}",0.26897302598646056,0.2785473947050565,0.2813699744859559,0.276296798392491,0.0053053413868405725,26
0.052135070164998375,0.003312555090359874,0.0015956560770670574,0.0011724908332618926,8,30,0.05,"{'depth': 8, 'iterations': 30, 'learning_rate': 0.05}",0.718423083038612,0.7035402777500243,0.714107226715332,0.7120235291679894,0.006251976749589156,17
0.07661040623982747,0.004619044622643489,0.002734661102294922,0.0019336990656668796,8,30,0.1,"{'depth': 8, 'iterations': 30, 'learning_rate': 0.1}",0.8279376848960844,0.7946372692888202,0.8109304822040346,0.8111684787963132,0.013595879319058025,11
0.08972549438476562,0.010471060310911924,0.006258328755696614,0.004746886568668227,8,50,0.01,"{'depth': 8, 'iterations': 50, 'learning_rate': 0.01}",0.40016182238773146,0.4087135442359059,0.40987861981120977,0.4062513288116157,0.004332121623326384,23
0.06923445065816243,0.004193259320621258,0.004256248474121094,0.0008869572556890393,8,50,0.05,"{'depth': 8, 'iterations': 50, 'learning_rate': 0.05}",0.8087966730711456,0.7808145823959484,0.7969168168882688,0.7955093574517876,0.011466910545499875,13
0.06896503766377766,0.004784853382761406,0.002781947453816732,0.001971801065974846,8,50,0.1,"{'depth': 8, 'iterations': 50, 'learning_rate': 0.1}",0.857493914688904,0.8105565894444513,0.8332103684984363,0.8337536242105972,0.01916593280367505,6
