mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.018323659896850586,0.01140099232406766,0.0025486151377360025,0.0004371030547340213,0.1,8,"{'learning_rate': 0.1, 'n_estimators': 8}",0.6583569674829389,0.6237961999829504,0.6505432191217504,0.6442321288625465,0.014798289489936058,12
0.012939135233561197,0.0005110840351459394,0.0018912951151529949,0.00034649377560157035,0.1,16,"{'learning_rate': 0.1, 'n_estimators': 16}",0.8070194432332152,0.7601265300526966,0.7929841228461464,0.7867100320440193,0.01965128474483563,9
0.021843671798706055,0.0012492681421101875,0.0025273958841959634,0.0010774255322884255,0.1,32,"{'learning_rate': 0.1, 'n_estimators': 32}",0.8415287168612025,0.7936835309522632,0.8337453431893604,0.8229858636676086,0.020962112701244064,2
0.04125006993611654,0.004588553047600115,0.0026378631591796875,0.00089991959362461,0.1,64,"{'learning_rate': 0.1, 'n_estimators': 64}",0.8358399697981721,0.7935603517579525,0.832700072325317,0.8207001312938139,0.019233485799101873,4
0.04990180333455404,0.006101675961867861,0.003643512725830078,0.0012195070468020834,0.1,128,"{'learning_rate': 0.1, 'n_estimators': 128}",0.8288974098540873,0.7842583369863698,0.8295396473380603,0.8142317980595059,0.021196059284271908,7
0.09620412190755208,0.012881293692924465,0.0016894340515136719,0.0005698889660521151,0.1,256,"{'learning_rate': 0.1, 'n_estimators': 256}",0.8211980385419623,0.7768050680325072,0.8213961411974076,0.8064664159239591,0.02097389616036761,8
0.0066585540771484375,0.0004628429072801973,0.0019083817799886067,0.0001207651229542315,0.01,8,"{'learning_rate': 0.01, 'n_estimators': 8}",0.1118483820686178,0.1083298048272231,0.1141808034792341,0.11145299679169167,0.00240496617361743,20
0.0076639652252197266,0.0012405830444249734,0.0006671746571858724,0.000943527448663881,0.01,16,"{'learning_rate': 0.01, 'n_estimators': 16}",0.20942495055464616,0.20121791246925547,0.21249875581850453,0.2077138729474687,0.004761666137037346,18
0.013696432113647461,0.001667439760393344,0.0018355051676432292,0.00023630351106558183,0.01,32,"{'learning_rate': 0.01, 'n_estimators': 32}",0.3666172246138274,0.3520347042626203,0.369713898164453,0.3627886090136336,0.007708531953413065,16
0.023227612177530926,0.0005396259726154687,0.002002239227294922,1.9466795466607238e-07,0.01,64,"{'learning_rate': 0.01, 'n_estimators': 64}",0.5756096075828041,0.5457287410457291,0.5767513181410546,0.566029888923196,0.014362644362066189,14
0.05177044868469238,0.004575266129051258,0.001999457677205404,4.2753148575823355e-06,0.01,128,"{'learning_rate': 0.01, 'n_estimators': 128}",0.7654513233632261,0.7170460301786798,0.7542799116699291,0.7455924217372784,0.02069416122272014,11
0.0937822659810384,0.006532779891442305,0.0020012855529785156,3.371747880871523e-07,0.01,256,"{'learning_rate': 0.01, 'n_estimators': 256}",0.8382211950322379,0.7887898329383006,0.8292759315321718,0.8187623198342369,0.02150607530934305,5
0.004895210266113281,0.000708776452546657,0.0022891362508138022,0.0004065767034924754,0.05,8,"{'learning_rate': 0.05, 'n_estimators': 8}",0.43594022715041114,0.4187589224078253,0.4374535573530549,0.4307175689704305,0.00847857939289908,15
0.00855096181233724,0.0012266257266532307,0.0018846988677978516,0.001493618714193928,0.05,16,"{'learning_rate': 0.05, 'n_estimators': 16}",0.6495104857503071,0.612453720192963,0.6473672856551691,0.6364438305328131,0.016986119279195525,13
0.016331195831298828,0.004846414353803097,0.0020020008087158203,8.920806376395086e-07,0.05,32,"{'learning_rate': 0.05, 'n_estimators': 32}",0.8057734120258487,0.7543357556138695,0.7910635603546918,0.7837242426648033,0.021631108962233705,10
0.024087270100911457,0.0006775759356157711,0.0025527477264404297,0.000779548207282054,0.05,64,"{'learning_rate': 0.05, 'n_estimators': 64}",0.8430452685734411,0.7969053669545363,0.8344018127295794,0.8247841494191857,0.02002660257448618,1
0.04263059298197428,0.001574012474498496,0.0020020008087158203,3.371747880871523e-07,0.05,128,"{'learning_rate': 0.05, 'n_estimators': 128}",0.8366199101704754,0.7991139696055536,0.8317157421553767,0.8224832073104685,0.016645393139678707,3
0.11361424128214519,0.02292143068177115,0.002875169118245443,0.0006178919831309038,0.05,256,"{'learning_rate': 0.05, 'n_estimators': 256}",0.8306831010508546,0.7893473112241748,0.8265691570785701,0.8155331897845333,0.01859222616642329,6
0.0072785218556722,0.0006213281590431234,0.0026236375172932944,0.000877309800099478,0.001,8,"{'learning_rate': 0.001, 'n_estimators': 8}",0.010903429731817127,0.008808147308623226,0.011796567201199482,0.010502714747213279,0.0012524889188467673,24
0.00963441530863444,0.0004737308705737594,0.0026078224182128906,0.0011736400540158446,0.001,16,"{'learning_rate': 0.001, 'n_estimators': 16}",0.022769988871416347,0.020355585478560312,0.023797846216145113,0.022307806855373924,0.0014427979549805866,23
0.017806212107340496,0.001385185945813662,0.001994530359903971,1.3673027780918482e-06,0.001,32,"{'learning_rate': 0.001, 'n_estimators': 32}",0.04590438049988421,0.04330012781634707,0.047327734185217074,0.045510747500482784,0.0016676557337180207,22
0.03404092788696289,0.011802503060500324,0.0032793680826822915,0.0016200531787290253,0.001,64,"{'learning_rate': 0.001, 'n_estimators': 64}",0.09013668235425087,0.08702322752310787,0.09230950227597201,0.08982313738444359,0.002169471214645141,21
0.05345018704732259,0.0007413780842455942,0.0032715797424316406,0.00030494304812740615,0.001,128,"{'learning_rate': 0.001, 'n_estimators': 128}",0.1714508316848009,0.16551501810427893,0.1743682702459095,0.17044470667832978,0.0036836787787307116,19
