iter	Passed	Remaining
455	897	1070
456	898	1067
457	899	1064
458	900	1061
459	901	1058
460	902	1055
461	905	1054
462	906	1051
463	927	1071
464	928	1068
465	929	1064
466	930	1061
467	935	1063
468	936	1060
469	937	1057
470	939	1055
471	940	1051
472	941	1049
473	943	1047
474	946	1045
475	949	1045
476	951	1043
477	952	1039
478	954	1037
479	954	1034
480	955	1030
481	956	1027
482	956	1024
483	957	1020
484	958	1017
485	958	1014
486	959	1010
487	960	1007
488	961	1004
489	962	1002
490	963	999
491	964	995
492	965	992
493	965	989
494	966	985
495	966	982
496	968	979
497	968	976
498	969	973
499	969	969
500	970	966
501	971	963
502	971	960
503	972	956
504	972	953
505	973	950
506	974	947
507	974	943
508	975	940
509	975	937
510	976	934
511	976	931
512	979	929
513	980	926
514	981	924
515	982	921
516	982	918
517	984	915
518	985	913
519	986	910
520	987	907
521	988	905
522	989	902
523	989	899
524	990	896
525	991	893
526	991	890
527	994	889
528	995	886
529	996	883
530	996	880
531	997	877
532	998	874
533	998	871
534	999	868
535	1000	865
536	1000	862
537	1001	859
538	1001	856
539	1002	853
540	1003	851
541	1003	848
542	1004	845
543	1005	842
544	1005	839
545	1006	836
546	1007	834
547	1012	834
548	1013	832
549	1013	829
550	1014	826
551	1014	823
552	1015	820
553	1016	818
554	1016	815
555	1017	812
556	1018	809
557	1018	806
558	1019	804
559	1019	801
560	1020	798
561	1021	795
562	1021	792
563	1022	790
564	1024	788
565	1025	786
566	1025	783
567	1026	780
568	1026	777
569	1027	775
570	1027	772
571	1028	769
572	1029	766
573	1029	764
574	1030	761
575	1030	758
576	1031	756
577	1032	753
578	1032	750
579	1033	748
580	1033	745
581	1034	742
582	1034	740
583	1035	737
584	1035	734
585	1036	732
586	1037	729
587	1038	727
588	1039	725
589	1040	722
590	1040	720
591	1041	717
592	1042	715
593	1042	712
594	1043	710
595	1043	707
596	1044	705
597	1044	702
598	1045	699
599	1046	697
600	1046	694
601	1047	692
602	1047	689
603	1048	687
604	1048	684
605	1049	682
606	1050	679
607	1050	677
608	1051	674
609	1051	672
610	1052	670
611	1054	668
612	1055	666
613	1055	663
614	1056	661
615	1056	658
616	1057	656
617	1058	654
618	1058	651
619	1059	649
620	1059	646
621	1060	644
622	1061	642
623	1061	639
624	1062	637
625	1062	634
626	1064	633
627	1065	630
628	1065	628
629	1066	626
630	1067	624
631	1068	622
632	1069	620
633	1070	617
634	1071	615
635	1071	613
636	1072	611
637	1072	608
638	1073	606
639	1073	604
640	1074	601
641	1075	599
642	1075	597
643	1076	594
644	1076	592
645	1077	590
646	1077	588
647	1078	585
648	1079	583
649	1079	581
650	1080	579
651	1097	585
652	1097	583
653	1098	581
654	1100	579
655	1101	577
656	1101	575
657	1102	573
658	1103	570
659	1103	568
660	1104	566
661	1105	564
662	1105	562
663	1106	559
664	1106	557
665	1107	555
666	1107	553
667	1108	550
668	1109	548
669	1109	546
670	1110	544
671	1111	542
672	1111	540
673	1112	538
674	1112	535
675	1113	533
676	1114	531
677	1116	530
678	1116	527
679	1117	525
680	1117	523
681	1118	521
682	1119	519
683	1119	517
684	1120	515
685	1120	512
686	1121	510
687	1121	508
688	1122	506
689	1122	504
690	1123	502
691	1124	500
692	1124	498
693	1125	496
694	1126	494
695	1126	492
696	1127	490
697	1128	488
698	1128	486
699	1129	484
700	1130	482
701	1131	480
702	1131	478
703	1132	476
704	1132	474
705	1133	472
706	1134	470
707	1135	468
708	1135	466
709	1136	464
710	1137	462
711	1137	460
712	1138	458
713	1139	456
714	1139	454
715	1140	452
716	1141	450
717	1141	448
718	1142	446
719	1143	444
720	1145	443
721	1145	441
722	1146	439
723	1147	437
724	1147	435
725	1148	433
726	1148	431
727	1149	429
728	1149	427
729	1150	425
730	1151	423
731	1151	421
732	1152	419
733	1152	417
734	1153	415
735	1153	413
736	1154	412
737	1155	410
738	1155	408
739	1156	406
740	1156	404
741	1157	402
742	1158	400
743	1158	398
744	1160	397
745	1161	395
746	1161	393
747	1162	391
748	1163	389
749	1163	387
750	1164	386
751	1165	384
752	1166	382
753	1167	380
754	1168	379
755	1168	377
756	1169	375
757	1169	373
758	1170	371
759	1171	369
760	1171	367
761	1172	366
762	1172	364
763	1173	362
764	1175	361
765	1175	359
766	1176	357
767	1177	355
768	1177	353
769	1178	351
770	1178	350
771	1179	348
772	1180	346
773	1180	344
774	1181	342
775	1181	341
776	1182	339
777	1182	337
778	1183	335
779	1183	333
780	1184	332
781	1185	330
782	1185	328
783	1186	326
784	1186	325
785	1187	323
786	1188	321
787	1188	319
788	1190	318
789	1191	316
790	1191	314
791	1192	313
792	1193	311
793	1193	309
794	1194	308
795	1195	306
796	1195	304
797	1196	302
798	1197	301
799	1197	299
800	1198	297
801	1199	296
802	1199	294
803	1200	292
804	1201	290
805	1201	289
806	1202	287
807	1203	285
808	1203	284
809	1205	282
810	1206	281
811	1207	279
812	1207	277
813	1208	276
814	1208	274
815	1209	272
816	1210	271
817	1210	269
818	1211	267
819	1212	266
820	1212	264
821	1213	262
822	1214	261
823	1214	259
824	1215	257
825	1215	256
826	1216	254
827	1217	252
828	1217	251
829	1218	249
830	1221	248
831	1221	246
832	1222	245
833	1223	243
834	1223	241
835	1224	240
836	1224	238
837	1225	236
838	1226	235
839	1226	233
840	1227	232
841	1228	230
842	1228	228
843	1229	227
844	1229	225
845	1230	223
846	1231	222
847	1232	220
848	1232	219
849	1233	217
850	1235	216
851	1236	214
852	1237	213
853	1238	211
854	1239	210
855	1239	208
856	1240	206
857	1241	205
858	1241	203
859	1242	202
860	1242	200
861	1243	199
862	1244	197
863	1245	195
864	1245	194
865	1246	192
866	1246	191
867	1247	189
868	1249	188
869	1250	186
870	1251	185
871	1252	183
872	1252	182
873	1253	180
874	1254	179
875	1255	177
876	1255	176
877	1257	174
878	1258	173
879	1289	175
880	1292	174
881	1293	173
882	1295	171
883	1296	170
884	1297	168
885	1298	167
886	1299	165
887	1300	164
888	1301	162
889	1301	160
890	1302	159
891	1303	157
892	1304	156
893	1305	154
894	1307	153
895	1308	151
896	1309	150
897	1309	148
898	1310	147
899	1310	145
900	1312	144
901	1313	142
902	1315	141
903	1316	139
904	1317	138
905	1318	136
906	1320	135
907	1332	135
908	1338	133
909	1339	132
910	1339	130
911	1340	129
912	1341	127
913	1341	126
914	1342	124
915	1343	123
916	1343	121
917	1344	120
918	1346	118
919	1348	117
920	1349	115
921	1349	114
922	1351	112
923	1352	111
924	1353	109
925	1353	108
926	1354	106
927	1355	105
928	1355	103
929	1356	102
930	1357	100
931	1357	99
932	1358	97
933	1359	96
934	1362	94
935	1364	93
936	1365	91
937	1366	90
938	1367	88
939	1368	87
940	1369	85
941	1370	84
942	1371	82
943	1371	81
944	1372	79
945	1373	78
946	1374	76
947	1378	75
948	1378	74
949	1379	72
950	1380	71
951	1380	69
952	1381	68
953	1382	66
954	1382	65
955	1383	63
956	1384	62
957	1384	60
958	1385	59
959	1386	57
960	1386	56
961	1387	54
962	1387	53
963	1388	51
964	1389	50
965	1391	48
966	1392	47
967	1393	46
968	1394	44
969	1394	43
970	1395	41
971	1396	40
972	1397	38
973	1397	37
974	1398	35
975	1399	34
976	1399	32
977	1400	31
978	1401	30
979	1401	28
980	1402	27
981	1403	25
982	1403	24
983	1404	22
984	1408	21
985	1409	20
986	1410	18
987	1411	17
988	1412	15
