mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.11504292488098145,0.11678632510093087,0.0,0.0,6,30,0.01,"{'depth': 6, 'iterations': 30, 'learning_rate': 0.01}",0.292411704806424,0.2945743898594374,0.2963902227220222,0.29445877246262786,0.0016262793400925455,25
0.03604420026143392,0.005199571858046257,0.0009963512420654297,0.0014090534394162093,6,30,0.05,"{'depth': 6, 'iterations': 30, 'learning_rate': 0.05}",0.7374629462857718,0.723865392017621,0.7340942296282971,0.7318075226438966,0.005781876404951698,16
0.03316267331441244,0.0012895184616212496,0.0024417241414388022,0.0003376243544712685,6,30,0.1,"{'depth': 6, 'iterations': 30, 'learning_rate': 0.1}",0.845569057133898,0.8049370035974567,0.8263413784332683,0.8256158130548744,0.01659589863963987,7
0.047734340031941734,0.005153696890444189,0.0021207332611083984,0.00016639601413265744,6,50,0.01,"{'depth': 6, 'iterations': 50, 'learning_rate': 0.01}",0.4288062527357702,0.4293104857713309,0.43034548424873764,0.42948740758527953,0.000640720640537493,22
0.04515830675760905,0.00047708371199060693,0.0013353029886881511,0.0009442018183075941,6,50,0.05,"{'depth': 6, 'iterations': 50, 'learning_rate': 0.05}",0.8222522708073629,0.7957571501982533,0.813016951546248,0.8103421241839547,0.01098070671940471,12
0.0485841433207194,0.003820146207212797,0.002002875010172526,5.947204250930057e-07,6,50,0.1,"{'depth': 6, 'iterations': 50, 'learning_rate': 0.1}",0.8679588845255636,0.8199377765113725,0.8494269036576368,0.8457745215648577,0.01977391589849944,3
0.11367193857828777,0.05653784870653971,0.0063978830973307295,0.006215704826790623,6,100,0.01,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.01}",0.6313426327463612,0.6297188258178211,0.6367437157061164,0.6326017247567662,0.0030029156946394437,19
0.1052228609720866,0.038493955673301335,0.0016659100850423176,0.0004694239355119778,6,100,0.05,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.05}",0.8651975251082124,0.8238413183264786,0.8501611275711344,0.8463999903352751,0.017091783110091362,2
0.07672611872355144,0.0023875847218564937,0.0032612482706705728,0.00329889169046699,6,100,0.1,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.1}",0.8721137750896951,0.8193594289383233,0.8554470601038142,0.8489734213772775,0.02201796627356816,1
0.052346388498942055,0.006973359649871494,0.0020031134287516275,4.49566384116203e-07,8,30,0.01,"{'depth': 8, 'iterations': 30, 'learning_rate': 0.01}",0.26897302598646056,0.2785473947050565,0.2813699744859559,0.276296798392491,0.0053053413868405725,26
0.05232985814412435,0.005749075433177561,0.0023316542307535806,0.00046518881596424106,8,30,0.05,"{'depth': 8, 'iterations': 30, 'learning_rate': 0.05}",0.718423083038612,0.7035402777500243,0.714107226715332,0.7120235291679894,0.006251976749589156,17
0.04780149459838867,0.0010336117372444246,0.001335461934407552,0.0009443141898360845,8,30,0.1,"{'depth': 8, 'iterations': 30, 'learning_rate': 0.1}",0.8279376848960844,0.7946372692888202,0.8109304822040346,0.8111684787963132,0.013595879319058025,11
0.06882929801940918,0.0054578601678389625,0.001481771469116211,0.001063015929787397,8,50,0.01,"{'depth': 8, 'iterations': 50, 'learning_rate': 0.01}",0.40016182238773146,0.4087135442359059,0.40987861981120977,0.4062513288116157,0.004332121623326384,23
0.07173474629720052,0.006477351622802506,0.0034125645955403647,0.003506186155192089,8,50,0.05,"{'depth': 8, 'iterations': 50, 'learning_rate': 0.05}",0.8087966730711456,0.7808145823959484,0.7969168168882688,0.7955093574517876,0.011466910545499875,13
0.07181080182393391,0.00795318254111148,0.0013321240743001301,0.0009419628371810294,8,50,0.1,"{'depth': 8, 'iterations': 50, 'learning_rate': 0.1}",0.857493914688904,0.8105565894444513,0.8332103684984363,0.8337536242105972,0.01916593280367505,6
0.12293426195780437,0.007065713620784015,0.0025032361348470054,0.0007081794733347052,8,100,0.01,"{'depth': 8, 'iterations': 100, 'learning_rate': 0.01}",0.6071203787757034,0.6056884149095139,0.6121292916197765,0.6083126951016645,0.0027613326329951698,20
0.13175177574157715,0.014815668616709889,0.002350966135660807,0.0019118807644877957,8,100,0.05,"{'depth': 8, 'iterations': 100, 'learning_rate': 0.05}",0.8604350507448904,0.809854925749845,0.8358804849195317,0.8353901538047556,0.020652160170793948,5
0.12341038386027019,0.0084361262750954,0.00668025016784668,0.003051569698168573,8,100,0.1,"{'depth': 8, 'iterations': 100, 'learning_rate': 0.1}",0.864241044879781,0.8094276188117873,0.8402275885528396,0.8379654174148027,0.022434586141657567,4
0.09748419125874837,0.008965900773629186,0.000667572021484375,0.0009440894066440263,10,30,0.01,"{'depth': 10, 'iterations': 30, 'learning_rate': 0.01}",0.2555355852232999,0.2594322048772746,0.2580529189051992,0.25767356966859123,0.0016132452932772435,27
0.10081275304158528,0.008103699083600495,0.003025690714518229,0.002982721823234347,10,30,0.05,"{'depth': 10, 'iterations': 30, 'learning_rate': 0.05}",0.7000792549658714,0.6785689245987425,0.6768817209897717,0.6851766335181285,0.010560232273820977,18
0.09556976954142253,0.0017310671214500238,0.0024219353993733725,0.0034251338889853215,10,30,0.1,"{'depth': 10, 'iterations': 30, 'learning_rate': 0.1}",0.8069110406011634,0.776672399553485,0.7956811872509674,0.7930882091352052,0.012480291255527675,14
